127.0.0.1 - - [06/Jan/2022:14:22:13 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Jan/2022:14:22:14 +0900] "GET /MVCProject1/index.jsp HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [06/Jan/2022:14:22:14 +0900] "GET /MVCProject1/images/img1.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [06/Jan/2022:14:22:24 +0900] "POST /MVCProject1/loginPro.login HTTP/1.1" 200 952
0:0:0:0:0:0:0:1 - - [06/Jan/2022:14:22:24 +0900] "GET /MVCProject1/images/img1.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [06/Jan/2022:14:22:25 +0900] "POST /MVCProject1/loginPro.login HTTP/1.1" 200 952
0:0:0:0:0:0:0:1 - - [06/Jan/2022:14:22:25 +0900] "GET /MVCProject1/images/img1.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:00:41 +0900] "GET /MVCProject1/index.jsp HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:00:41 +0900] "GET /MVCProject1/images/img1.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:00:59 +0900] "GET /MVCProject1/ HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:00:59 +0900] "GET /MVCProject1/images/img1.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:00:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:01:00 +0900] "GET /MVCProject1/memberAgree.mem HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:01:02 +0900] "POST /MVCProject1/memberJoin.mem HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:01:12 +0900] "GET /MVCProject1/memberAgree.mem HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:01:13 +0900] "POST /MVCProject1/memberJoin.mem HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:01:55 +0900] "POST /MVCProject1/memberJoinOk.mem HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:01:57 +0900] "GET /MVCProject1/ HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:01:57 +0900] "GET /MVCProject1/images/img1.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:02:49 +0900] "POST /MVCProject1/loginPro.login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:02:49 +0900] "GET /MVCProject1/ HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:02:51 +0900] "GET /MVCProject1/mypage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:02:56 +0900] "GET /MVCProject1/memberDscript.mem HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:09:12 +0900] "GET /MVCProject1/logout.login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:09:12 +0900] "GET /MVCProject1/ HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:09:12 +0900] "GET /MVCProject1/images/img1.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:09:41 +0900] "GET /MVCProject1/employeeRegist.emp HTTP/1.1" 200 1505
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:10:34 +0900] "GET /MVCProject1/employeeWrite.emp?empNum=0&empName=%EA%B9%80%EC%86%8C%EB%8B%B4&empId=four3&empPw=111&empPwCon=111&empHireDate=2020-02-20&empEmail=a%40a.a&empSalary=30000&empPhone=010-9211-4310 HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:10:35 +0900] "GET /MVCProject1/employeeList.emp HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:10:41 +0900] "GET /MVCProject1/ HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:10:41 +0900] "GET /MVCProject1/images/img1.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:10:47 +0900] "POST /MVCProject1/loginPro.login HTTP/1.1" 200 950
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:10:47 +0900] "GET /MVCProject1/images/img1.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:10:52 +0900] "POST /MVCProject1/loginPro.login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:10:52 +0900] "GET /MVCProject1/ HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:11:01 +0900] "GET /MVCProject1/memberList.mem HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:11:04 +0900] "GET /MVCProject1/employeeList.emp HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:24:05 +0900] "GET /MVCProject1/logout.login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:24:05 +0900] "GET /MVCProject1/ HTTP/1.1" 500 2783
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:24:06 +0900] "GET /MVCProject1/ HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [06/Jan/2022:16:24:06 +0900] "GET /MVCProject1/images/img1.jpg HTTP/1.1" 404 842
